piece,color,state,frame_w,frame_h,frame_count,avg_content_w,avg_content_h,avg_center_y,avg_top_pad,avg_bot_pad,h_vs_idle,w_vs_idle,idle_content_h,idle_content_w,idle_center_y_pct,center_y_pct
queen,white,hit,100,100,4,49.5,34.5,50.8,33.5,32.0,0.958,1.1,36.0,45.0,50.0,50.7
queen,white,dead,100,100,4,48.5,19.5,54.0,44.2,36.2,0.542,1.078,36.0,45.0,50.0,54.0
queen,black,idle,100,100,4,45.0,36.0,50.0,32.0,32.0,1.0,1.0,36.0,45.0,50.0,50.0
queen,black,move,100,100,8,34.8,34.5,49.0,31.8,33.8,0.958,0.772,36.0,45.0,50.0,49.0
queen,black,attack,100,100,4,52.5,34.8,50.6,33.2,32.0,0.965,1.167,36.0,45.0,50.0,50.6
queen,black,attack1,100,100,4,45.0,36.2,49.9,31.8,32.0,1.007,1.0,36.0,45.0,50.0,49.9
queen,black,hit,100,100,4,49.5,34.5,50.8,33.5,32.0,0.958,1.1,36.0,45.0,50.0,50.7
queen,black,dead,100,100,4,48.5,19.5,54.0,44.2,36.2,0.542,1.078,36.0,45.0,50.0,54.0
king,white,idle,100,100,4,28.0,35.0,45.5,28.0,37.0,1.0,1.0,35.0,28.0,45.5,45.5
king,white,move,100,100,8,30.1,33.6,45.1,28.2,38.1,0.961,1.076,35.0,28.0,45.5,45.1
king,white,attack,100,100,4,45.5,34.2,45.9,28.8,37.0,0.979,1.625,35.0,28.0,45.5,45.9
king,white,attack1,100,100,4,47.5,36.2,44.9,26.8,37.0,1.036,1.696,35.0,28.0,45.5,44.9
king,white,hit,100,100,4,30.5,34.8,45.6,28.2,37.0,0.993,1.089,35.0,28.0,45.5,45.6
king,white,dead,100,100,4,35.0,22.8,50.1,38.8,38.5,0.65,1.25,35.0,28.0,45.5,50.1
king,black,idle,100,100,4,28.0,35.0,45.5,28.0,37.0,1.0,1.0,35.0,28.0,45.5,45.5
king,black,move,100,100,8,30.1,33.6,45.1,28.2,38.1,0.961,1.076,35.0,28.0,45.5,45.1
king,black,attack,100,100,4,45.5,34.2,45.9,28.8,37.0,0.979,1.625,35.0,28.0,45.5,45.9
king,black,attack1,100,100,4,47.5,36.2,44.9,26.8,37.0,1.036,1.696,35.0,28.0,45.5,44.9
king,black,hit,100,100,4,30.5,34.8,45.6,28.2,37.0,0.993,1.089,35.0,28.0,45.5,45.6
king,black,dead,100,100,4,35.0,22.8,50.1,38.8,38.5,0.65,1.25,35.0,28.0,45.5,50.1
